company,commodity,company_type,country,status,production_2026,production_2027,production_2028,current_capacity,commissioning,capacity_addition,source_date,source_title,source_url,assumptions
Zijin Mining,gold,listed,China,partial,105 吨,未单列披露,130-140 吨,2025 实际矿产金 90 吨,2026-2028 由巨龙、武里蒂卡、海域金矿等项目驱动,较 2025 年提升约 40-50 吨,2026-03,Zijin Mining 2025 Annual Results and 2026-2028 Guidance,https://www.zijinmining.com/investor/,公司按项目投产、金属价格与并表范围披露中期目标，未单列 2027 年分年值
Zijin Mining,copper,listed,China,partial,120 万吨,未单列披露,150-160 万吨,2025 实际矿产铜 109 万吨,巨龙二期、卡莫阿权益增量、塞尔维亚项目爬坡,较 2025 年提升约 41-51 万吨,2026-03,Zijin Mining 2025 Annual Results and 2026-2028 Guidance,https://www.zijinmining.com/investor/,未单列 2027 年目标，按公司三年路径保留 2026 与 2028 关键锚点
Zijin Mining,lithium,listed,China,partial,12 万吨 LCE,未单列披露,27-32 万吨 LCE,2025 实际约 2.55 万吨 LCE,3Q 盐湖一期、拉果错、湘源硬岩项目分步投放,较 2025 年提升约 24.45-29.45 万吨 LCE,2026-03,Zijin Mining 2025 Annual Results and 2026-2028 Guidance,https://www.zijinmining.com/investor/,锂项目投放节奏受盐湖爬坡和下游转化线调试影响
Rio Tinto,copper,listed,UK/Australia,partial,800-870 kt,未单列披露,未单列披露,按 2026 guidance 披露 consolidated basis 80-87 万吨,Oyu Tolgoi 地下矿继续爬坡，Resolution/Winu 处开发阶段,主要来自 Oyu Tolgoi 地下矿放量,2026-04,Rio Tinto Q1 2026 Operations Review,https://www.riotinto.com/en/invest/reports-results,铜产量按 consolidated basis 披露，后续取决于蒙古地下矿爬坡
Rio Tinto,lithium,listed,UK/Australia,partial,61-64 kt LCE,未单列披露,未单列披露,Fenix 1B + Rincon/Sal de Vida 路线逐步投放,Fenix 1B 与 Sal de Vida 机械完工，首产跟踪至 2026 下半年,阿根廷盐湖资产进入商业化放量阶段,2026-04,Rio Tinto Q1 2026 Operations Review,https://www.riotinto.com/en/invest/reports-results,LCE 口径受盐湖工艺稳定性与运输条件影响
Barrick,gold,listed,Canada,partial,2.90-3.25 Moz,未单列披露,未单列披露,核心矿山组合维持约 300 万盎司级别,Goldrush、Pueblo Viejo 扩建与 Fourmile/Arthur 项目推进,依赖 Nevada Gold Mines 与非洲资产扩建,2026-02,Barrick Q4 2025 Results and 2026 Guidance,https://www.barrick.com/English/investors/default.aspx,仅明确披露 2026 年指引，后续年份以项目推进为主
Barrick,copper,listed,Canada,partial,190-220 kt,未单列披露,未单列披露,Lumwana + Jabal Sayid 为主,Lumwana Super Pit 与 Reko Diq 项目推进,中长期铜产能扩张依赖 Lumwana 与 Reko Diq,2026-02,Barrick Q4 2025 Results and 2026 Guidance,https://www.barrick.com/English/investors/default.aspx,仅 2026 年产量有明确指引，项目投放节奏受审批与资本开支影响
Newmont,gold,listed,United States,partial,约 5.3 Moz,未单列披露,未单列披露,2025 实际金产量约 5.6 Moz 级别,Ahafo North、Tanami Expansion 与 Cadia 优化推进,中期依赖核心一级资产优化与剥离后组合重塑,2026-02,Newmont Q4 2025 Results and 2026 Outlook,https://www.newmont.com/investors/default.aspx,公司重点披露 2026 年 outlook，未给出完整 2027-2028 分年指引
Newmont,copper,listed,United States,partial,未单列披露,未单列披露,未单列披露,2025 实际铜产量约 135 kt,Cadia、Red Chris 与北美项目优化,未给出完整三年分年铜规划,2026-02,Newmont Q4 2025 Results and 2026 Outlook,https://www.newmont.com/investors/default.aspx,仅能确认 2025 实际铜产量，后续年份未单列
Freeport-McMoRan,copper,listed,United States,quantified,1.0 bn lb,约 1.6 bn lb,约 1.6 bn lb,Grasberg 地下矿完成切换，北美/南美资产稳定运营,Grasberg 2026 后恢复高品位产区，Bagdad/Safford 棕地优化,2027-2029 平均铜销量较 2026 明显抬升,2026-01,Freeport-McMoRan 2025 Annual Report and Grasberg Outlook,https://investors.fcx.com/investors/default.aspx,2027-2028 采用公司披露的 2027-2029 average annual sales 口径
