record_id,company,commodity,commodity_label,company_type,country_primary,country_list,region_list,status,status_label,disclosed_years,comparable_years,operating_stage,scale_reference_value,scale_reference_basis,scale_reference_source,production_2026_raw,production_2027_raw,production_2028_raw,current_capacity,commissioning,capacity_addition,source_date,source_title,source_url,source_domain,assumptions,last_cleaned_at,scale_bucket,rank_within_basis
15,Antofagasta,copper,铜,listed,Chile,"[""Chile""]","[""South America""]",partial,部分披露,1,1,投产爬坡,675.0,copper_kt,production_2026,650-700 kt,未单列披露,未单列披露,Los Pelambres、Centinela、Antucoya、Zaldívar 运营,Centinela 第二选厂投产后前十年平均新增约 144 kt 铜,中长期新增铜当量 170 kt/年,2026-02,Antofagasta 2026 Guidance and Centinela Second Concentrator Update,https://www.antofagasta.co.uk/investors/results-reports-and-presentations/,www.antofagasta.co.uk,仅明确 2026 组指引；后续年份以项目平均产能披露,2026-07-06 15:24:39 CST,头部,3
7,Barrick,copper,铜,listed,Canada,"[""Canada""]","[""North America""]",partial,部分披露,1,1,开发建设,205.0,copper_kt,production_2026,190-220 kt,未单列披露,未单列披露,Lumwana + Jabal Sayid 为主,Lumwana Super Pit 与 Reko Diq 项目推进,中长期铜产能扩张依赖 Lumwana 与 Reko Diq,2026-02,Barrick Q4 2025 Results and 2026 Guidance,https://www.barrick.com/English/investors/default.aspx,www.barrick.com,仅 2026 年产量有明确指引，项目投放节奏受审批与资本开支影响,2026-07-06 15:24:39 CST,尾部,8
10,Freeport-McMoRan,copper,铜,listed,United States,"[""United States""]","[""North America""]",quantified,三年量化,3,3,成熟运营,453.59237,copper_kt,production_2026,1.0 bn lb,约 1.6 bn lb,约 1.6 bn lb,Grasberg 地下矿完成切换，北美/南美资产稳定运营,Grasberg 2026 后恢复高品位产区，Bagdad/Safford 棕地优化,2027-2029 平均铜销量较 2026 明显抬升,2026-01,Freeport-McMoRan 2025 Annual Report and Grasberg Outlook,https://investors.fcx.com/investors/default.aspx,investors.fcx.com,2027-2028 采用公司披露的 2027-2029 average annual sales 口径,2026-07-06 15:24:39 CST,中型,4
12,Ivanhoe Mines,copper,铜,listed,Canada,"[""Canada""]","[""North America""]",quantified,三年量化,3,2,投产爬坡,310.0,copper_kt,production_2026,290-330 kt,380-420 kt,500+ kt,Kamoa-Kakula 3期投产后持续扩容,熔炼厂投运、4期扩建与西区新矿体开发并行,2028 起年产铜突破 50 万吨,2026-03,Ivanhoe Mines Kamoa-Kakula Updated Technical Report,https://www.ivanhoemines.com/investors/news-and-media/,www.ivanhoemines.com,取公司 2026/03/31 更新技术报告中的官方三年路径,2026-07-06 15:24:39 CST,中型,6
13,Lundin Mining,copper,铜,listed,Canada,"[""Canada""]","[""North America""]",quantified,三年量化,3,3,开发建设,322.5,copper_kt,production_2026,310-335 kt,315-340 kt,290-315 kt,Candelaria、Caserones、Chapada 等资产并表后稳定运营,Josemaria、Candelaria 地下项目与 Caserones 优化推进,中期主要靠南美组合优化与新项目接替,2026-02,Lundin Mining 2026-2028 Production Guidance,https://lundinmining.com/investors/news/,lundinmining.com,按公司公开 2026-2028 guidance 原值录入,2026-07-06 15:24:39 CST,中型,5
9,Newmont,copper,铜,listed,United States,"[""United States""]","[""North America""]",partial,部分披露,0,0,待识别,135.0,copper_kt,current_capacity,未单列披露,未单列披露,未单列披露,2025 实际铜产量约 135 kt,Cadia、Red Chris 与北美项目优化,未给出完整三年分年铜规划,2026-02,Newmont Q4 2025 Results and 2026 Outlook,https://www.newmont.com/investors/default.aspx,www.newmont.com,仅能确认 2025 实际铜产量，后续年份未单列,2026-07-06 15:24:39 CST,尾部,9
4,Rio Tinto,copper,铜,listed,United Kingdom,"[""United Kingdom"", ""Australia""]","[""Europe"", ""Oceania""]",partial,部分披露,1,1,投产爬坡,835.0,copper_kt,production_2026,800-870 kt,未单列披露,未单列披露,按 2026 guidance 披露 consolidated basis 80-87 万吨,Oyu Tolgoi 地下矿继续爬坡，Resolution/Winu 处开发阶段,主要来自 Oyu Tolgoi 地下矿放量,2026-04,Rio Tinto Q1 2026 Operations Review,https://www.riotinto.com/en/invest/reports-results,www.riotinto.com,铜产量按 consolidated basis 披露，后续取决于蒙古地下矿爬坡,2026-07-06 15:24:39 CST,头部,2
18,Southern Copper,copper,铜,listed,Peru,"[""Peru"", ""Mexico""]","[""South America"", ""North America""]",partial,部分披露,0,0,开发建设,,,,未单列披露,未单列披露,未单列披露,Buenavista、Toquepala、Cuajone 等大型铜矿稳定运营,Tía María、Los Chancas、Buenavista Zinc 项目推进,产能增量主要来自秘鲁新建项目与墨西哥扩建,2026-02,Southern Copper Annual Report and Investor Presentation,https://southerncoppercorp.com/eng/invrel/,southerncoppercorp.com,公司更偏项目级披露，未形成完整三年分年铜指引,2026-07-06 15:24:39 CST,未量化,
17,Teck,copper,铜,listed,Canada,"[""Canada""]","[""North America""]",quantified,三年量化,3,3,开发建设,295.0,copper_kt,production_2026,280-310 kt,280-310 kt,270-300 kt,QB2、Highland Valley Copper、Carmen de Andacollo 组合运营,Highland Valley MLE、Zafranal、San Nicolás 处扩建/开发阶段,后续增量依赖 HVC MLE 与南美项目,2026-01,Teck Updated 2026-2028 Copper Guidance,https://www.teck.com/investors/reports-and-filings/,www.teck.com,2026/01 重申 2025/10 披露的 2026-2028 铜指引,2026-07-06 15:24:39 CST,尾部,7
2,Zijin Mining,copper,铜,listed,China,"[""China""]","[""Asia""]",partial,部分披露,2,2,投产爬坡,1200.0,copper_kt,production_2026,120 万吨,未单列披露,150-160 万吨,2025 实际矿产铜 109 万吨,巨龙二期、卡莫阿权益增量、塞尔维亚项目爬坡,较 2025 年提升约 41-51 万吨,2026-03,Zijin Mining 2025 Annual Results and 2026-2028 Guidance,https://www.zijinmining.com/investor/,www.zijinmining.com,未单列 2027 年目标，按公司三年路径保留 2026 与 2028 关键锚点,2026-07-06 15:24:39 CST,头部,1
24,Agnico Eagle,gold,黄金,listed,Canada,"[""Canada""]","[""North America""]",quantified,三年量化,3,3,成熟运营,105.75182111999999,gold_tonnes,production_2026,约 3.3-3.5 Moz,约 3.3-3.5 Moz,约 3.3-3.5 Moz,多矿山组合稳定维持 330-350 万盎司/年,Hope Bay 初期年产 400-435 koz 路径纳入中期增长,中期新增主要来自 Hope Bay、Detour 与 Odyssey,2026-02,Agnico Eagle 2026-2028 Production Guidance,https://www.agnicoeagle.com/English/investors/news-and-events/default.aspx,www.agnicoeagle.com,公司明确披露 2026-2028 年稳定年产区间,2026-07-06 15:24:39 CST,头部,2
26,AngloGold Ashanti,gold,黄金,listed,United Kingdom,"[""United Kingdom"", ""South Africa""]","[""Europe"", ""Africa""]",partial,部分披露,0,0,开发建设,,,,未单列披露,未单列披露,未单列披露,现有组合外叠加北美开发项目,Arthur 项目前 9 年平均约 500 koz；North Bullfrog 前 5 年均约 105 koz,美国项目构成中长期增量,2026-02,AngloGold Ashanti Project Updates and Annual Results,https://www.anglogoldashanti.com/investors/results-reports-presentations/,www.anglogoldashanti.com,项目平均值明确，但公司未披露完整 2026-2028 分年总量,2026-07-06 15:24:39 CST,未量化,
16,Antofagasta,gold,黄金,listed,Chile,"[""Chile""]","[""South America""]",partial,部分披露,1,1,投产爬坡,2.0217259920000004,gold_tonnes,production_2026,60-70 koz,未单列披露,未单列披露,黄金主要来自 Los Pelambres 等铜矿副产,Centinela 第二选厂投产后前十年平均新增约 130 koz 金,中长期副产金提升依赖 Centinela 扩建,2026-02,Antofagasta 2026 Guidance and Centinela Second Concentrator Update,https://www.antofagasta.co.uk/investors/results-reports-and-presentations/,www.antofagasta.co.uk,2026 为明确年度指引，后续仅有项目平均值,2026-07-06 15:24:39 CST,尾部,8
6,Barrick,gold,黄金,listed,Canada,"[""Canada""]","[""North America""]",partial,部分披露,1,1,开发建设,95.64319116,gold_tonnes,production_2026,2.90-3.25 Moz,未单列披露,未单列披露,核心矿山组合维持约 300 万盎司级别,Goldrush、Pueblo Viejo 扩建与 Fourmile/Arthur 项目推进,依赖 Nevada Gold Mines 与非洲资产扩建,2026-02,Barrick Q4 2025 Results and 2026 Guidance,https://www.barrick.com/English/investors/default.aspx,www.barrick.com,仅明确披露 2026 年指引，后续年份以项目推进为主,2026-07-06 15:24:39 CST,中型,4
11,Freeport-McMoRan,gold,黄金,listed,United States,"[""United States""]","[""North America""]",quantified,三年量化,3,3,投产爬坡,27.99312912,gold_tonnes,production_2026,0.9 Moz,约 1.3 Moz,约 1.3 Moz,黄金主要来自 Grasberg 铜金系统,高品位区段恢复出矿后同步带动黄金副产,2027-2029 平均金销量高于 2026,2026-01,Freeport-McMoRan 2025 Annual Report and Grasberg Outlook,https://investors.fcx.com/investors/default.aspx,investors.fcx.com,2027-2028 采用公司披露的 2027-2029 average annual sales 口径,2026-07-06 15:24:39 CST,中型,6
25,Kinross,gold,黄金,listed,Canada,"[""Canada""]","[""North America""]",quantified,三年量化,3,3,待识别,62.2069536,gold_tonnes,production_2026,约 2.0 Moz Au eq,约 2.0 Moz Au eq,约 2.0 Moz Au eq,公司维持约 200 万盎司当量年产水平,Redback/Redbird、Great Bear 等项目支撑后续年限,Redbird 2 在 2028-2031 年均约 155 koz,2026-02,Kinross 2025 Results and 2026-2028 Guidance,https://www.kinross.com/investors/default.aspx,www.kinross.com,2027-2028 为公司 stable production guidance,2026-07-06 15:24:39 CST,中型,5
14,Lundin Mining,gold,黄金,listed,Canada,"[""Canada""]","[""North America""]",partial,部分披露,1,1,成熟运营,4.4011419672,gold_tonnes,production_2026,134-149 koz,未单列披露,未单列披露,黄金来自铜矿副产,随 Candelaria、Chapada 等矿山运营计划波动,未单列三年金副产规划,2026-02,Lundin Mining 2026-2028 Production Guidance,https://lundinmining.com/investors/news/,lundinmining.com,公司仅对 2026 年黄金副产给出明确区间,2026-07-06 15:24:39 CST,尾部,7
8,Newmont,gold,黄金,listed,United States,"[""United States""]","[""North America""]",partial,部分披露,1,1,开发建设,164.84842704,gold_tonnes,production_2026,约 5.3 Moz,未单列披露,未单列披露,2025 实际金产量约 5.6 Moz 级别,Ahafo North、Tanami Expansion 与 Cadia 优化推进,中期依赖核心一级资产优化与剥离后组合重塑,2026-02,Newmont Q4 2025 Results and 2026 Outlook,https://www.newmont.com/investors/default.aspx,www.newmont.com,公司重点披露 2026 年 outlook，未给出完整 2027-2028 分年指引,2026-07-06 15:24:39 CST,头部,1
1,Zijin Mining,gold,黄金,listed,China,"[""China""]","[""Asia""]",partial,部分披露,2,2,待识别,105.0,gold_tonnes,production_2026,105 吨,未单列披露,130-140 吨,2025 实际矿产金 90 吨,2026-2028 由巨龙、武里蒂卡、海域金矿等项目驱动,较 2025 年提升约 40-50 吨,2026-03,Zijin Mining 2025 Annual Results and 2026-2028 Guidance,https://www.zijinmining.com/investor/,www.zijinmining.com,公司按项目投产、金属价格与并表范围披露中期目标，未单列 2027 年分年值,2026-07-06 15:24:39 CST,头部,3
22,Albemarle,lithium,锂,listed,United States,"[""United States""]","[""North America""]",partial,部分披露,0,0,维护收缩,,,,情景口径，未单列披露,未单列披露,未单列披露,Kemerton 保留部分 train，剩余产线进入 care and maintenance,智利 DLE 项目仍处审批/FID 前阶段,模块化最多 6 条线，单线约 50 L/s 卤水处理能力,2026-02,Albemarle Reports Fourth Quarter and Full Year 2025 Results,https://investors.albemarle.com/news-and-events/news/default.aspx,investors.albemarle.com,公司在低价周期下采用情景管理，不提供清晰三年分年产量,2026-07-06 15:24:39 CST,未量化,
